,,,,,Sitzverteilung und Wähleranteil,,,
,,,,,Staat Freiburg,,,
Nationalratswahlen vom 18. Oktober 2015,,,,,,,,
—,,,,,,,,
Liste Nr.,Kürzel,Sitze,Frauen,Parteistimmen,,Wähleranteil,Gewählte,
1,CVP,2,1,124914,,19.6%,2,
2,SP,2,1,142071,,22.3%,2,
3,FDP,1,0,83685,,13.1%,1,
4,CSP,0,0,11423,,1.8%,0,
5,SVP,2,0,154416,,24.3%,2,
6,glp,0,0,16393,,2.6%,0,
7,Grüne,0,0,25909,,4.1%,0,
8,JF,0,0,5358,,0.8%,0,
9,JSVPF,0,0,8425,,1.3%,0,
10,JCVP GF,0,0,3610,,0.6%,0,
11,JCVP SF,0,0,5129,,0.8%,0,
12,JCVPDF,0,0,4617,,0.7%,0,
13,JCVPSL,0,0,4091,,0.6%,0,
14,EDU,0,0,4757,,0.7%,0,
15,JBDP,0,0,1844,,0.3%,0,
16,BDP,0,0,6227,,1.0%,0,
17,JG,0,0,7278,,1.1%,0,
18,GL&JG,0,0,3664,,0.6%,0,
19,EVP,0,0,4210,,0.7%,0,
20,JSF,0,0,9866,,1.5%,0,
,Total,7,2,627887,,100.0%,7,
,,,,,Sitzverteilung und Wähleranteil,,,
,,,,,Staat Freiburg,,,
Nationalratswahlen vom 18. Oktober 2015,,,,,,,,
—,,,,,,,,
Liste,,1,Christlichdemokratische Volkspartei des Kantons Freiburg (CVP),,,,,
Kürzel,,CVP,,,,,,
Sitze,,2,,,,,,
Kandidatenstimmen,,,111'616,,,,,
Zusatzstimmen,,,13'298,,,,,
Parteistimmen,,,124'914,,,,,
Nr.,Name,Vorname,Geb.-Datum,Beruf,,Wohnort,Stimmen,Bisher
Stimmen haben erhalten:,,,,,,,,
1.01,de Buman,Dominique,1956,"juriste, conseiller national / Jurist, Nationalrat",,Fribourg/Freiburg,25'905,x
1.02,Bulliard-Marbach,Christine,1959,"responsable d'une exploitation agricole, conseillère nationale, syndique / Leiterin eines Landwirtschaftsbetriebs, Nationalrätin, Gemeindepräsidentin",,Ueberstorf,23'308,x
1.03,Collomb,Eric,1969,"directeur d'entreprise, député / Geschäftsführer, Grossrat",,Lully,16'609,
1.04,Aebischer,Susanne,1976,"conseillère en organisation, coach BSO et formatrice d'adultes, députée / Organisationsberaterin, Coach BSO und Erwachsenenbildnerin, Grossrätin",,Kerzers,10'276,
1.05,Butty,Dominique,1960,"dr méd. vétérinaire, député / Dr. der Veterinärmedizin, Grossrat",,Romont,10'882,
