ID,Kanton,Ort,Unternehmen
CHE-470.329.565,AG - Aargau,Oberentfelden,Bäckerei Röösli
CHE-150.447.450,AG - Aargau,Sarmenstorf,Bäckerei Ruckli AG
CHE-183.998.797,SG - St. Gallen,St. Gallen,Bäckerei Ruppeiner AG
CHE-285.849.594,SG - St. Gallen,Niederbüren,Bäckerei Schäfli Roswita Stolz
CHE-105.790.686,BE - Bern,Ursenbach,Bäckerei Schär
CHE-112.161.308,SZ - Schwyz,Rothenthurm,Bäckerei Schnüriger GmbH
CHE-107.655.674,AG - Aargau,Bremgarten (AG),Bäckerei Schwager GmbH
CHE-107.804.537,LU - Luzern,Willisau,Bäckerei Schwegler GmbH
CHE-109.088.421,SG - St. Gallen,St. Gallen,Bäckerei Schwyter AG
CHE-103.415.409,BE - Bern,Zäziwil,Bäckerei Siegfried
CHE-102.764.971,LU - Luzern,Sempach,Bäckerei Christen AG
CHE-279.810.193,ZH - Zürich,Hedingen,Bäckerei Conditorei Confiserie Pfyl AG
CHE-110.492.160,BE - Bern,Ostermundigen,"BÄCKEREI CONFISERIE BACKBORD, LORENZ MOSER, BEATRICE MOSER"
CHE-115.564.068,LU - Luzern,Emmen,Bäckerei Confiserie Bucher AG
CHE-114.972.619,BE - Bern,Steffisburg,Bäckerei Confiserie Galli AG
CHE-412.619.094,BL - Basel-Landschaft,Reinach (BL),Bäckerei Confiserie Grellinger AG
CHE-403.888.011,BS - Basel-Stadt,Basel,Bäckerei Confiserie Grellinger AG
CHE-114.078.894,SO - Solothurn,Olten,Bäckerei Dili GmbH
CHE-259.888.200,AG - Aargau,Killwangen,Bäckerei Dimen GmbH
CHE-105.900.182,SG - St. Gallen,Diepoldsau,Bäckerei Dörig GmbH Diepoldsau
CHE-472.136.586,BE - Bern,Bern,Bäckerei Bohnenblust AG
CHE-107.161.923,ZH - Zürich,Brütten,Bäckerei Bosshart
CHE-115.385.318,FR - Fribourg,Ueberstorf,Bäckerei Brotbrösmeli GmbH
CHE-105.739.461,SZ - Schwyz,Schübelbach,Bäckerei Bruhin
CHE-427.231.072,LU - Luzern,Dierikon,Bäckerei Brunner AG
CHE-107.737.622,BS - Basel-Stadt,Basel,Bäckerei Bumann
CHE-107.974.783,AG - Aargau,Lengnau (AG),Bäckerei Bürgi
CHE-113.716.054,LU - Luzern,Eschenbach (LU),Bäckerei Café Brioche AG
CHE-109.538.921,UR - Uri,Schattdorf,Bäckerei Café Herger Max GmbH
CHE-413.304.753,ZH - Zürich,Zürich,Bäckerei Caffè Latte Teneqëja
CHE-113.973.800,AG - Aargau,Oberkulm,Bäckerei Speck
CHE-112.763.476,AG - Aargau,Baden,Bäckerei Spitzbueb AG
CHE-105.767.693,GR - Graubünden,Haldenstein,Bäckerei Stäubli AG
CHE-109.692.433,BE - Bern,Schangnau,"Bäckerei Stein, P. Riedwyl"
CHE-114.324.159,LU - Luzern,Meierskappel,Bäckerei Steinegger AG
CHE-105.797.211,BE - Bern,Riggisberg,Bäckerei Steiner
CHE-115.771.992,LU - Luzern,Menznau,Bäckerei Stöckli GmbH
CHE-461.112.618,LU - Luzern,Schötz,Bäckerei Suter AG
CHE-107.066.472,SG - St. Gallen,Uzwil,Bäckerei Taverna
CHE-363.238.951,BE - Bern,Niederbipp,Bäckerei Tea Room Bieri AG
CHE-106.013.220,ZG - Zug,Cham,Bäckerei Nussbaumer AG
CHE-115.564.720,LU - Luzern,Reiden,Bäckerei Nyffenegger GmbH
CHE-114.487.212,BL - Basel-Landschaft,Dittingen,Bäckerei Oehler
